"stim_condition","acc","Response","RT","participant","Subject","Correct","Stimulus","Chanel1","Chanel2"
1,0,"3","0.8840298000723124",31,31,0,1,0,0
3,0,"0","0.8684270000085235",31,31,0,3,1,1
2,0,"1","0.7338117000181228",31,31,0,2,0,1
3,1,"3","0.5673430999740958",31,31,1,3,1,1
2,0,"0","1.0174390999600291",31,31,0,2,0,1
1,0,"3","0.7673483998514712",31,31,0,1,0,0
0,1,"0","1.251075599808246",31,31,1,0,1,0
0,0,"3","1.1843332999851555",31,31,0,0,1,0
0,0,"1","1.4695944001432508",31,31,0,0,1,0
1,0,"3","1.6180728999897838",31,31,0,1,0,0
1,0,"0","1.7849341998808086",31,31,0,1,0,0
1,0,"0","0.46718670008704066",31,31,0,1,0,0
2,1,"2","1.4521448998712003",31,31,1,2,0,1
3,0,"0","1.5846762000583112",31,31,0,3,1,1
1,0,"3","1.3843088001012802",31,31,0,1,0,0
0,1,"0","1.2512898999266326",31,31,1,0,1,0
2,0,"1","0.8672262001782656",31,31,0,2,0,1
0,1,"0","1.3175667999312282",31,31,1,0,1,0
0,0,"3","0.9344374998472631",31,31,0,0,1,0
1,0,"3","1.217697500018403",31,31,0,1,0,0
0,0,"1","1.0176844000816345",31,31,0,0,1,0
2,0,"0","1.5681252998765558",31,31,0,2,0,1
3,0,"0","0.9509641001932323",31,31,0,3,1,1
3,0,"1","1.5844952000770718",31,31,0,3,1,1
1,0,"3","0.8011483000591397",31,31,0,1,0,0
2,0,"0","0.8007105002179742",31,31,0,2,0,1
0,0,"1","1.0510148999746889",31,31,0,0,1,0
2,0,"1","1.067589099984616",31,31,0,2,0,1
1,0,"3","0.7172830000054091",31,31,0,1,0,0
3,1,"3","1.0675812000408769",31,31,1,3,1,1
2,0,"0","1.6860760999843478",31,31,0,2,0,1
0,0,"1","1.6513437998946756",31,31,0,0,1,0
2,0,"3","1.1343958999495953",31,31,0,2,0,1
1,0,"0","1.2011746999341995",31,31,0,1,0,0
3,1,"3","1.4180886000394821",31,31,1,3,1,1
2,0,"1","0.9675265999976546",31,31,0,2,0,1
0,1,"0","1.8181978000793606",31,31,1,0,1,0
0,0,"3","1.3177682999521494",31,31,0,0,1,0
1,1,"1","1.634697899920866",31,31,1,1,0,0
3,1,"3","0.9006650000810623",31,31,1,3,1,1
0,0,"1","1.1680071000009775",31,31,0,0,1,0
0,0,"3","1.3177404999732971",31,31,0,0,1,0
0,0,"3","1.5177088999189436",31,31,0,0,1,0
3,1,"3","1.5678852999117225",31,31,1,3,1,1
2,1,"2","1.5512453999835998",31,31,1,2,0,1
1,1,"1","1.8847511999774724",31,31,1,1,0,0
3,0,"0","0.9512862002011389",31,31,0,3,1,1
1,1,"1","1.4511967999860644",31,31,1,1,0,0
1,0,"3","0.7507413001731038",31,31,0,1,0,0
3,0,"0","1.2511113998480141",31,31,0,3,1,1
2,0,"3","0.9174500000663102",31,31,0,2,0,1
2,1,"2","1.353020500158891",31,31,1,2,0,1
2,0,"3","1.1843417999334633",31,31,0,2,0,1
1,0,"3","1.284389300039038",31,31,0,1,0,0
3,0,"0","1.1509225000627339",31,31,0,3,1,1
2,0,"3","1.1175332001876086",31,31,0,2,0,1
0,0,"1","1.7362691001035273",31,31,0,0,1,0
0,1,"0","1.000878700055182",31,31,1,0,1,0
1,0,"3","0.567148600006476",31,31,0,1,0,0
3,1,"3","0.8337427999358624",31,31,1,3,1,1
3,0,"2","0.6003602999262512",31,31,0,3,1,1
3,1,"3","1.434707900043577",31,31,1,3,1,1
2,0,"1","1.0340109998360276",31,31,0,2,0,1
0,0,"3","1.2027456001378596",31,31,0,0,1,0
2,0,"1","1.0676418000366539",31,31,0,2,0,1
0,1,"0","1.1342051001265645",31,31,1,0,1,0
3,1,"3","1.1177848000079393",31,31,1,3,1,1
3,0,"2","0.9843812000472099",31,31,0,3,1,1
1,0,"3","1.05093999998644",31,31,0,1,0,0
3,0,"1","1.9852775000035763",31,31,0,3,1,1
2,0,"3","1.1340898999478668",31,31,0,2,0,1
0,1,"0","1.201272499980405",31,31,1,0,1,0
3,1,"3","0.9175404999405146",31,31,1,3,1,1
0,0,"1","1.3845204999670386",31,31,0,0,1,0
3,1,"3","0.867526900023222",31,31,1,3,1,1
3,0,"2","0.4335219000931829",31,31,0,3,1,1
1,0,"3","1.0176820000633597",31,31,0,1,0,0
0,0,"1","0.684105799999088",31,31,0,0,1,0
3,1,"3","0.9009390999563038",31,31,1,3,1,1
2,0,"1","0.7005332000553608",31,31,0,2,0,1
2,0,"0","1.117648599902168",31,31,0,2,0,1
2,0,"1","0.41722889989614487",31,31,0,2,0,1
3,1,"3","0.9170824000611901",31,31,1,3,1,1
0,0,"1","0.6336046000942588",31,31,0,0,1,0
0,1,"0","0.7672764000017196",31,31,1,0,1,0
3,0,"1","1.051396899856627",31,31,0,3,1,1
1,0,"3","0.5336902001872659",31,31,0,1,0,0
1,1,"1","1.6179852001369",31,31,1,1,0,0
1,0,"3","1.0838540999684483",31,31,0,1,0,0
3,0,"0","0.6006134999915957",31,31,0,3,1,1
0,1,"0","1.1675929001066834",31,31,1,0,1,0
3,1,"3","1.2010335999075323",31,31,1,3,1,1
2,0,"1","0.7505970001220703",31,31,0,2,0,1
2,0,"1","1.1178695999551564",31,31,0,2,0,1
1,0,"0","1.6691382999997586",31,31,0,1,0,0
2,0,"1","1.6009898001793772",31,31,0,2,0,1
2,0,"0","1.1674804999493062",31,31,0,2,0,1
0,0,"3","1.3845263998955488",31,31,0,0,1,0
1,0,"2","1.5343659999780357",31,31,0,1,0,0
0,0,"3","1.0515552998986095",31,31,0,0,1,0
0,0,"3","1.0341926000546664",31,31,0,0,1,0
1,0,"0","1.6848603000398725",31,31,0,1,0,0
1,0,"3","1.10097030014731",31,31,0,1,0,0
1,0,"3","1.1510325998533517",31,31,0,1,0,0
3,0,"2","1.78445990011096",31,31,0,3,1,1
3,1,"3","1.150906699942425",31,31,1,3,1,1
3,0,"1","1.1862667999230325",31,31,0,3,1,1
0,1,"0","1.2674346000421792",31,31,1,0,1,0
